index;action;page_viewed_1;page_viewed_2;page_viewed_5;page_viewed_8;page_viewed_11;page_viewed_14;page_viewed_17;open_type_cookie;page_viewed_7;Q5_q5a1;page_viewed_15;page_viewed_10;page_viewed_4;Q2_q2a2;page_viewed_13;Q4_q4a1;page_viewed_12;Q1_q1a2;Q3_q3a2;page_viewed_3;page_viewed_9;Q2_q2a1;page_viewed_6;Q3_q3a1;Q1_q1a1;page_viewed_16;Q1_q1a3;Q4_q4a2;Q4_q4a3;Q3_q3a3;Q5_q5a2;Q2_q2a3;Q5_q5a3;click2button_click2link;like_dislike_like;system_favorite;system_share;like_dislike_dislike;system_optout_CREATIVE;like_dislike_unknown;session_start;session_end
0;page_viewed_1;0.0001401064809255034;0.33761658860734156;0.015298293369627583;0.00289553393912707;0.0009206997317961651;0.0004136477055895814;0.0002868846990379355;0.012462805065182872;9.340432061700226e-05;0.0;0.0;2.0015211560786197e-05;0.001394393072068105;0.000673845455879802;0.0;0.0;6.671737186928733e-06;0.06942609716718039;2.0015211560786197e-05;0.0010808214242824547;6.671737186928733e-06;0.00047369334027194;4.670216030850113e-05;4.670216030850113e-05;0.05564228813898563;0.0;0.04746941008499793;6.671737186928733e-06;0.0;1.3343474373857465e-05;0.0;0.00016679342967321832;0.0;0.0;0.0009340432061700225;0.00036027380809415153;0.00023351080154250563;0.00010007605780393099;6.671737186928732e-05;2.0015211560786197e-05;0.0;0.45166326408070134
1;page_viewed_2;0.018916105920511208;4.840974003969599e-05;0.22366510141840537;0.021723870842813575;0.005337173839376482;0.0018032628164786756;0.0016943409013893595;0.003243452582659631;0.0007745558406351358;2.4204870019847995e-05;0.0;7.261461005954399e-05;0.18713995255845475;0.029396814639105387;2.4204870019847995e-05;3.630730502977199e-05;2.4204870019847995e-05;0.09370915428184151;0.00018153652514885996;0.12696664568911264;6.051217504961998e-05;0.02068306143196011;0.0004235852253473399;0.00024204870019847992;0.07617272595246163;0.0;0.06453018347291475;2.4204870019847995e-05;2.4204870019847995e-05;0.00013312678510916397;1.2102435009923998e-05;0.008629036162075809;0.0;0.0;0.0015733165512901196;0.00016943409013893597;0.00018153652514885996;7.261461005954399e-05;3.630730502977199e-05;6.051217504961998e-05;0.0;0.11218957254199545
2;page_viewed_5;0.002218041946261617;0.01787067973158885;2.8076480332425527e-05;0.16209955919925878;0.022770025549597103;0.00649970519695651;0.002611112670915574;0.001979391863436;0.27194878849987364;2.8076480332425527e-05;1.4038240166212764e-05;0.0005755678468147233;0.0021759272257629784;0.14787882191088525;7.019120083106382e-05;0.00012634416149591486;2.8076480332425527e-05;0.009096779627705871;0.005320493022994637;0.0012213268944605104;0.0005194148861498723;0.09322795294381896;0.1318611898812365;0.0057697167083134455;0.007903529213577785;1.4038240166212764e-05;0.005376645983659488;0.00012634416149591486;9.826768116348934e-05;0.003551674762051829;1.4038240166212764e-05;0.043672965157087906;0.0;0.0;0.0006597972878119999;0.00014038240166212764;8.422944099727657e-05;7.019120083106382e-05;7.019120083106382e-05;0.00011230592132970211;0.0;0.05216610045764663
3;page_viewed_8;0.0007547739452034116;0.003124764133142124;0.01698241376707676;1.5095478904068232e-05;0.1478149294286361;0.025209449769793946;0.007336402747377161;0.001041588044380708;0.0017963619895841195;0.00025662314136915996;7.547739452034116e-05;0.25799682994943013;0.00022643218356102347;0.005962714167106952;0.0006340101139708657;0.008664804890935164;0.00048305532493018343;0.0015397388482149596;0.1148011170654389;0.00022643218356102347;0.16682013736885803;0.004921126122726244;0.0009963016076685032;0.10471733715752132;0.001434070495886482;3.0190957808136464e-05;0.000784964903011548;0.004468261755604197;0.003456864669031625;0.06821646916748433;7.547739452034116e-05;0.0023699901879387125;3.0190957808136464e-05;3.0190957808136464e-05;0.0003019095780813646;6.038191561627293e-05;7.547739452034116e-05;6.038191561627293e-05;6.038191561627293e-05;1.5095478904068232e-05;0.0;0.04613178353083251
4;page_viewed_11;0.00035264887392802755;0.0011060351045924502;0.0036547246934359222;0.01774465015628757;1.60294942694558e-05;0.1478881141299992;0.025086158531698325;0.0008655926905506131;0.00011220645988619059;0.011813737276588923;0.000721327242125511;0.0016991263925623147;6.41179770778232e-05;0.00035264887392802755;0.22559910234832092;0.14537148352969465;0.20745371483529695;0.0006091207822393203;0.004087521038711229;6.41179770778232e-05;0.0007533862306644226;0.0008335337020117015;0.00017632443696401377;0.00301354492265769;0.00043279634527530655;0.0002885308968502044;0.0002564719083112928;0.08147791937164382;0.07524244610082552;0.00190750981806524;0.0037028131762442897;0.0001282359541556464;0.0018433918409874169;8.014747134727899e-05;0.00041676685100585075;4.8088482808367394e-05;1.60294942694558e-05;3.20589885389116e-05;3.20589885389116e-05;4.8088482808367394e-05;0.0;0.034607678127755066
5;page_viewed_14;0.00015029809121424158;0.0005510930011188858;0.0014027821846662547;0.0036238539770544914;0.018486665219351713;5.0099363738080525e-05;0.15963327265743726;0.0005844925769442728;3.3399575825387016e-05;0.22040380087172892;0.3014478716120305;1.6699787912693508e-05;3.3399575825387016e-05;0.0002003974549523221;0.0015864798517058834;0.006112122376045824;0.0012357843055393197;0.0003339957582538702;0.0003506955461665637;5.0099363738080525e-05;1.6699787912693508e-05;0.00031729597034117665;5.0099363738080525e-05;0.0001669978791269351;0.0002170972428650156;0.1332977071191196;0.0002003974549523221;0.002889063308895977;0.002454868823165946;0.00013359830330154807;0.05965164242414121;1.6699787912693508e-05;0.03668943404418764;0.0015864798517058834;0.0005677927890315793;8.349893956346755e-05;5.0099363738080525e-05;3.3399575825387016e-05;0.0;1.6699787912693508e-05;0.0;0.0452731250313121
6;page_viewed_17;0.00015802781289506955;0.00033361427166736903;0.0007725804185981177;0.001703188650091305;0.0032834667790420003;0.015047759516786066;0.00012291052114060964;0.0032834667790420003;1.7558645877229948e-05;0.005969939598258182;0.001703188650091305;0.00015802781289506955;8.779322938614974e-05;0.0002633796881584492;0.00019314510464952942;0.0007199044809664279;0.00014046916701783958;0.0017734232336002248;0.0006496698974575081;7.023458350891979e-05;8.779322938614974e-05;0.0016329540665823853;3.5117291754459895e-05;0.0002458210422812193;0.0009832841691248771;0.0013168984407922462;0.0008252563562298076;0.0003160556257901391;0.00012291052114060964;0.00014046916701783958;0.0018787751088636044;7.023458350891979e-05;0.0011939879196516364;0.010377159713442899;0.0021772720887765135;0.001000842815002107;0.00035117291754459897;8.779322938614974e-05;0.00012291052114060964;1.7558645877229948e-05;0.0;0.9405639837055766
7;open_type_cookie;0.8323639441850305;0.04508342208022719;0.004505611534365528;0.001228803145736053;0.0007918953605854564;0.0006007482045820704;0.00043690778515059666;0.0006826684142978073;8.192020971573687e-05;0.0003276808388629475;2.730673657191229e-05;2.730673657191229e-05;0.001037655989732667;0.0017476311406023866;2.730673657191229e-05;0.0003003741022910352;2.730673657191229e-05;0.021736162311242185;0.0009557357800169302;0.000846508833729281;0.0;0.00357718249092051;2.730673657191229e-05;0.0003549875754348598;0.012970699871658338;0.0;0.010021572321891811;0.00013653368285956145;0.00019114715600338604;0.00016384041943147374;0.00010922694628764917;0.00046421452172250896;5.461347314382458e-05;5.461347314382458e-05;0.006853990879549985;0.0011468829360203163;0.0008192020971573687;0.00043690778515059666;0.0002730673657191229;2.730673657191229e-05;0.0;0.04947980666830507
8;page_viewed_7;0.00011001402678841553;0.00022002805357683106;0.0039880084710800625;0.3868643252014632;0.0047856101652960755;0.0008526087076102203;0.0002750350669710388;0.001870238455403064;5.5007013394207764e-05;0.00011001402678841553;0.0;0.004373057564839517;0.0001650210401826233;0.0020077559888885834;0.00011001402678841553;0.0006050771473362854;0.0001375175334855194;0.0023928050826480377;0.20327841799829477;0.00024753156027393494;0.0022552875491625183;0.035974586759811876;0.004015511977777167;0.19013174179707912;0.005748232899694711;0.0;0.002612833136224869;0.0008251052009131165;0.00038504909375945435;0.11851261035782062;5.5007013394207764e-05;0.001402678841552298;8.251052009131165e-05;0.0;0.00035754558706235047;5.5007013394207764e-05;5.5007013394207764e-05;2.7503506697103882e-05;5.5007013394207764e-05;8.251052009131165e-05;0.0;0.024918177067576115
9;Q5_q5a1;0.0;0.0;0.0;0.0;0.00032233487663365176;0.5223583191701342;0.015794408955048935;2.930317060305925e-05;2.930317060305925e-05;2.930317060305925e-05;0.45129813045771555;2.930317060305925e-05;0.0;0.0;0.0004981539002520073;5.86063412061185e-05;0.000586063412061185;2.930317060305925e-05;2.930317060305925e-05;0.0;0.0;0.0;2.930317060305925e-05;0.0;0.0;0.001289339506534607;0.0;5.86063412061185e-05;2.930317060305925e-05;0.0;0.00020512219422141477;0.0;2.930317060305925e-05;0.0010256109711070738;0.0006739729238703628;5.86063412061185e-05;2.930317060305925e-05;0.0;0.0;2.930317060305925e-05;0.0;0.005450389732169021
