previous_action;Q1_q1a1;Q1_q1a2;Q1_q1a3;Q2_q2a1;Q2_q2a2;Q2_q2a3;Q3_q3a1;Q3_q3a2;Q3_q3a3;Q4_q4a1;Q4_q4a2;Q4_q4a3;Q5_q5a1;Q5_q5a2;Q5_q5a3;click2button_click2link;like_dislike_dislike;like_dislike_like;like_dislike_unknown;open_type_cookie;page_viewed_1;page_viewed_10;page_viewed_11;page_viewed_12;page_viewed_13;page_viewed_14;page_viewed_15;page_viewed_16;page_viewed_17;page_viewed_2;page_viewed_3;page_viewed_4;page_viewed_5;page_viewed_6;page_viewed_7;page_viewed_8;page_viewed_9;session_end;session_start;system_favorite;system_optout_CREATIVE;system_share
Q1_q1a1;0.0;11.0;0.0;18.0;24.0;2.0;1.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;29.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;2654.0;1.0;2519.0;48.0;0.0;0.0;9.0;0.0;13.0;0.0;0.0;0.0;0.0
Q1_q1a2;0.0;0.0;0.0;33.0;56.0;18.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3384.0;3279.0;23.0;62.0;1.0;5.0;8.0;0.0;18.0;0.0;2.0;0.0;1.0
Q1_q1a3;1.0;6.0;0.0;13.0;24.0;4.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;7.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2309.0;2.0;2016.0;39.0;0.0;2.0;3.0;0.0;21.0;0.0;0.0;0.0;1.0
Q2_q2a1;7.0;0.0;1.0;0.0;0.0;0.0;32.0;27.0;23.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;5.0;4.0;7.0;2850.0;2987.0;33.0;63.0;5.0;5.0;0.0;0.0;0.0;0.0
Q2_q2a2;2.0;4.0;1.0;21.0;0.0;0.0;38.0;32.0;19.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;5.0;6.0;0.0;0.0;2.0;0.0;0.0;1.0;11.0;4.0;5.0;4756.0;1.0;3966.0;101.0;4.0;19.0;0.0;0.0;0.0;0.0
Q2_q2a3;2.0;0.0;0.0;10.0;0.0;0.0;11.0;10.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1455.0;2.0;1169.0;22.0;4.0;8.0;0.0;0.0;0.0;0.0
Q3_q3a1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;15.0;1.0;34.0;12.0;13.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;2485.0;56.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;6.0;5.0;6.0;3282.0;2.0;12.0;0.0;3.0;0.0;0.0
Q3_q3a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;16.0;20.0;3.0;0.0;1.0;1.0;0.0;7.0;0.0;0.0;0.0;18.0;63.0;1.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;6.0;1.0;3448.0;3238.0;11.0;0.0;0.0;0.0;0.0
Q3_q3a3;0.0;0.0;0.0;0.0;1.0;0.0;0.0;11.0;0.0;26.0;6.0;7.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1551.0;43.0;3.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;2122.0;0.0;8.0;0.0;0.0;0.0;0.0
Q4_q4a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;46.0;9.0;8.0;2.0;0.0;1.0;0.0;0.0;0.0;9.0;4080.0;3525.0;15.0;59.0;6.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;18.0;0.0;0.0;0.0;0.0
